rank,lemma,pos,freq,ipm,ARF,total_freq,source_tags,rows
115,wrócić,verb,30738.0,376.39,15458.74,30738.0,fin;imps;impt;inf;pant;praet,6
116,myśl,noun,31016.0,379.8,15439.58,31016.0,subst,1
117,pracować,verb,29794.0,364.82,15370.37,29794.0,fin;imps;impt;inf;pcon;praet,6
118,rozmowa,noun,29728.0,364.02,15215.46,29728.0,subst,1
119,zobaczyć,verb,29796.0,364.87,15214.98,29796.0,fin;imps;impt;inf;pant;praet,6
120,zdanie,noun,27995.0,342.8,15089.72,27995.0,subst,1
121,ojciec,noun,42794.0,524.02,14893.64,42794.0,subst,1
122,pamiętać,verb,30286.0,370.86,14885.15,30286.0,fin;imps;impt;inf;pcon;praet,6
123,uważać,verb,28053.0,343.52,14740.28,28053.0,fin;imps;impt;inf;pcon;praet,6
124,książka,noun,39703.0,486.17,14712.3,39703.0,subst,1
125,pełny,adjective,25452.0,311.66,14703.73,25452.0,adj;adjc;adjp,3
126,wyjść,verb,27842.0,340.93,14651.88,27842.0,fin;impt;inf;pant;praet,5
127,śmierć,noun,33099.0,405.3,14634.98,33099.0,subst,1
128,pieniądz,noun,32895.0,402.8,14626.54,32895.0,subst,1
129,próbować,verb,28499.0,348.97,14624.74,28499.0,fin;imps;impt;inf;pcon;praet,6
130,tydzień,noun,28092.0,343.99,14558.03,28092.0,subst,1
131,spotkanie,noun,31131.0,381.2,14421.47,31131.0,subst,1
132,pójść,verb,28653.0,350.85,14268.87,28653.0,fin;impt;inf;praet,4
133,ruch,noun,30682.0,375.71,14257.33,30682.0,subst,1
134,informacja,noun,30939.0,378.85,14236.63,30939.0,subst,1
135,możliwość,noun,27804.0,340.46,14219.93,27804.0,subst,1
136,przyjść,verb,26612.0,325.87,14141.39,26612.0,fin;impt;inf;pant;praet,5
137,potrafić,verb,27459.0,336.24,14116.42,27459.0,fin;imps;inf;pcon;praet,5
138,główny,adjective,26855.0,328.84,14039.33,26855.0,adj,1
139,pojawić,verb,24866.0,304.48,13957.62,24866.0,fin;inf;pant;praet,4
140,bliski,adjective,24896.0,304.85,13952.35,24896.0,adj;adjp,2
141,niektóry,adjective,25258.0,309.29,13880.09,25258.0,adj,1
142,zmienić,verb,23938.0,293.12,13793.58,23938.0,fin;imps;impt;inf;pant;praet,6
143,twarz,noun,33518.0,410.43,13763.87,33518.0,subst,1
144,szkoła,noun,37807.0,462.95,13740.08,37807.0,subst,1
145,Warszawa,noun,34641.0,424.18,13636.37,34641.0,subst,1
146,matka,noun,37167.0,455.12,13541.78,37167.0,subst,1
147,większość,noun,25171.0,308.22,13482.16,25171.0,subst,1
148,jedyny,adjective,22991.0,281.53,13428.81,22991.0,adj,1
149,społeczny,adjective,35350.0,432.86,13393.47,35350.0,adj;adja,2
150,decyzja,noun,28818.0,352.88,13295.38,28818.0,subst,1
